x,y,EC:7D:1E:28:F0:06,D3:88:EE:6C:33:17,F0:AB:CE:31:10:B9,01:17:C5:97:87:84,01:17:C5:97:B5:70,01:17:C5:97:1B:44,01:17:C5:97:5B:1D,01:17:C5:97:DE:E8,01:17:C5:97:E7:B3,01:17:C5:97:58:C3,01:17:C5:97:44:BE,FA:CF:CB:5D:0E:B8,F7:38:03:58:5F:67,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-80,-85,-65,-75,-77,-82,-90,-92,-69,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-80,-85,-65,-75,-77,-82,-90,-92,-69,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-80,-85,-65,-75,-77,-82,-90,-92,-69,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-80,-85,-65,-75,-77,-82,-90,-92,-69,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-80,-85,-65,-75,-77,-82,-90,-92,-69,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-80,-85,-65,-75,-77,-82,-90,-92,-69,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-85,-60,-76,-77,-83,-88,-88,-67,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-85,-60,-76,-77,-83,-88,-88,-67,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-85,-60,-76,-77,-83,-88,-88,-67,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-85,-60,-76,-77,-83,-88,-88,-67,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-85,-60,-76,-77,-83,-88,-88,-67,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-85,-60,-76,-77,-83,-88,-88,-67,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-85,-60,-76,-77,-83,-88,-88,-67,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-85,-60,-76,-77,-83,-88,-88,-67,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-85,-60,-76,-77,-83,-88,-88,-67,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-85,-60,-76,-77,-83,-88,-88,-67,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-85,-60,-76,-77,-83,-88,-88,-67,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-83,-81,-68,-73,-74,-74,-91,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-83,-81,-68,-73,-74,-74,-91,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-83,-81,-68,-73,-74,-74,-91,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-83,-81,-68,-73,-74,-74,-91,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-83,-81,-68,-73,-74,-74,-91,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-83,-81,-68,-73,-74,-74,-91,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-83,-81,-68,-73,-74,-74,-91,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-83,-81,-68,-73,-74,-74,-91,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-83,-81,-68,-73,-74,-74,-91,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-83,-81,-68,-73,-74,-74,-91,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-83,-81,-68,-73,-74,-74,-91,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-88,-68,-75,-75,-75,-92,-87,-67,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-88,-68,-75,-75,-75,-92,-87,-67,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-88,-68,-75,-75,-75,-92,-87,-67,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-88,-68,-75,-75,-75,-92,-87,-67,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-88,-68,-75,-75,-75,-92,-87,-67,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-88,-68,-75,-75,-75,-92,-87,-67,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-88,-68,-75,-75,-75,-92,-87,-67,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-88,-68,-75,-75,-75,-92,-87,-67,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-88,-68,-75,-75,-75,-92,-87,-67,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-88,-68,-75,-75,-75,-92,-87,-67,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-88,-68,-75,-75,-75,-92,-87,-67,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-73,-87,-68,-77,-79,-75,-92,-88,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-73,-87,-68,-77,-79,-75,-92,-88,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-73,-87,-68,-77,-79,-75,-92,-88,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-73,-87,-68,-77,-79,-75,-92,-88,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-73,-87,-68,-77,-79,-75,-92,-88,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-73,-87,-68,-77,-79,-75,-92,-88,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-73,-87,-68,-77,-79,-75,-92,-88,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-73,-87,-68,-77,-79,-75,-92,-88,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-73,-87,-68,-77,-79,-75,-92,-88,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-73,-87,-68,-77,-79,-75,-92,-88,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-73,-87,-68,-77,-79,-75,-92,-88,-70,-100,
-595.2054977416992,-546.8434982299805,-93,-100,-100,-76,-80,-68,-76,-80,-76,-92,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-93,-100,-100,-76,-80,-68,-76,-80,-76,-92,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-93,-100,-100,-76,-80,-68,-76,-80,-76,-92,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-93,-100,-100,-76,-80,-68,-76,-80,-76,-92,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-93,-100,-100,-76,-80,-68,-76,-80,-76,-92,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-93,-100,-100,-76,-80,-68,-76,-80,-76,-92,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-93,-100,-100,-76,-80,-68,-76,-80,-76,-92,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-93,-100,-100,-76,-80,-68,-76,-80,-76,-92,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-93,-100,-100,-76,-80,-68,-76,-80,-76,-92,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-93,-100,-100,-76,-80,-68,-76,-80,-76,-92,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-93,-100,-100,-76,-80,-68,-76,-80,-76,-92,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-90,-100,-100,-76,-80,-63,-73,-75,-76,-93,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-90,-100,-100,-76,-80,-63,-73,-75,-76,-93,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-90,-100,-100,-76,-80,-63,-73,-75,-76,-93,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-90,-100,-100,-76,-80,-63,-73,-75,-76,-93,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-90,-100,-100,-76,-80,-63,-73,-75,-76,-93,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-90,-100,-100,-76,-80,-63,-73,-75,-76,-93,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-90,-100,-100,-76,-80,-63,-73,-75,-76,-93,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-90,-100,-100,-76,-80,-63,-73,-75,-76,-93,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-90,-100,-100,-76,-80,-63,-73,-75,-76,-93,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-90,-100,-100,-76,-80,-63,-73,-75,-76,-93,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-90,-100,-100,-76,-80,-63,-73,-75,-76,-93,-90,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-80,-67,-77,-86,-75,-91,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-80,-67,-77,-86,-75,-91,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-80,-67,-77,-86,-75,-91,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-80,-67,-77,-86,-75,-91,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-80,-67,-77,-86,-75,-91,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-80,-67,-77,-86,-75,-91,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-80,-67,-77,-86,-75,-91,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-80,-67,-77,-86,-75,-91,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-80,-67,-77,-86,-75,-91,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-80,-67,-77,-86,-75,-91,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-76,-80,-67,-77,-86,-75,-91,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-80,-67,-77,-74,-86,-92,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-80,-67,-77,-74,-86,-92,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-80,-67,-77,-74,-86,-92,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-80,-67,-77,-74,-86,-92,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-80,-67,-77,-74,-86,-92,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-80,-67,-77,-74,-86,-92,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-80,-67,-77,-74,-86,-92,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-80,-67,-77,-74,-86,-92,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-80,-67,-77,-74,-86,-92,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-80,-67,-77,-74,-86,-92,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-100,-100,-100,-82,-80,-67,-77,-74,-86,-92,-89,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-73,-80,-68,-77,-76,-85,-88,-88,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-73,-80,-68,-77,-76,-85,-88,-88,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-73,-80,-68,-77,-76,-85,-88,-88,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-73,-80,-68,-77,-76,-85,-88,-88,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-73,-80,-68,-77,-76,-85,-88,-88,-70,-100,
-595.2054977416992,-546.8434982299805,-92,-100,-100,-73,-80,-68,-77,-76,-85,-88,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-97,-100,-100,-82,-88,-62,-75,-81,-85,-83,-89,-71,-100,
-603.4799957275391,-351.1384963989258,-97,-100,-100,-82,-88,-62,-75,-81,-85,-83,-89,-71,-100,
-603.4799957275391,-351.1384963989258,-97,-100,-100,-82,-88,-62,-75,-81,-85,-83,-89,-71,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-85,-87,-62,-77,-80,-84,-86,-92,-71,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-85,-87,-62,-77,-80,-84,-86,-92,-71,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-85,-87,-62,-77,-80,-84,-86,-92,-71,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-85,-87,-62,-77,-80,-84,-86,-92,-71,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-85,-87,-62,-77,-80,-84,-86,-92,-71,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-85,-87,-62,-77,-80,-84,-86,-92,-71,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-85,-87,-62,-77,-80,-84,-86,-92,-71,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-85,-87,-62,-77,-80,-84,-86,-92,-71,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-85,-87,-62,-77,-80,-84,-86,-92,-71,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-85,-87,-62,-77,-80,-84,-86,-92,-71,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-88,-64,-75,-78,-84,-83,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-88,-64,-75,-78,-84,-83,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-88,-64,-75,-78,-84,-83,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-88,-64,-75,-78,-84,-83,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-88,-64,-75,-78,-84,-83,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-88,-64,-75,-78,-84,-83,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-88,-64,-75,-78,-84,-83,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-88,-64,-75,-78,-84,-83,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-88,-64,-75,-78,-84,-83,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-88,-64,-75,-78,-84,-83,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-88,-64,-75,-78,-84,-83,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-90,-65,-77,-88,-85,-84,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-90,-65,-77,-88,-85,-84,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-90,-65,-77,-88,-85,-84,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-90,-65,-77,-88,-85,-84,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-90,-65,-77,-88,-85,-84,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-90,-65,-77,-88,-85,-84,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-90,-65,-77,-88,-85,-84,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-90,-65,-77,-88,-85,-84,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-90,-65,-77,-88,-85,-84,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-90,-65,-77,-88,-85,-84,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-94,-100,-100,-82,-90,-65,-77,-88,-85,-84,-88,-70,-100,
-603.4799957275391,-351.1384963989258,-92,-100,-100,-81,-86,-65,-76,-79,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-92,-100,-100,-81,-86,-65,-76,-79,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-92,-100,-100,-81,-86,-65,-76,-79,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-92,-100,-100,-81,-86,-65,-76,-79,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-92,-100,-100,-81,-86,-65,-76,-79,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-92,-100,-100,-81,-86,-65,-76,-79,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-92,-100,-100,-81,-86,-65,-76,-79,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-92,-100,-100,-81,-86,-65,-76,-79,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-92,-100,-100,-81,-86,-65,-76,-79,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-92,-100,-100,-81,-86,-65,-76,-79,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-92,-100,-100,-81,-86,-65,-76,-79,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-85,-63,-76,-79,-84,-82,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-85,-63,-76,-79,-84,-82,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-85,-63,-76,-79,-84,-82,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-85,-63,-76,-79,-84,-82,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-85,-63,-76,-79,-84,-82,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-85,-63,-76,-79,-84,-82,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-85,-63,-76,-79,-84,-82,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-85,-63,-76,-79,-84,-82,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-85,-63,-76,-79,-84,-82,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-85,-63,-76,-79,-84,-82,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-85,-63,-76,-79,-84,-82,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-65,-79,-80,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-65,-79,-80,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-65,-79,-80,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-65,-79,-80,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-65,-79,-80,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-65,-79,-80,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-65,-79,-80,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-65,-79,-80,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-65,-79,-80,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-65,-79,-80,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-65,-79,-80,-85,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-63,-72,-77,-86,-83,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-63,-72,-77,-86,-83,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-63,-72,-77,-86,-83,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-63,-72,-77,-86,-83,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-63,-72,-77,-86,-83,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-63,-72,-77,-86,-83,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-63,-72,-77,-86,-83,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-63,-72,-77,-86,-83,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-63,-72,-77,-86,-83,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-63,-72,-77,-86,-83,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-82,-86,-63,-72,-77,-86,-83,-90,-70,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-81,-92,-65,-78,-79,-86,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-81,-92,-65,-78,-79,-86,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-81,-92,-65,-78,-79,-86,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-81,-92,-65,-78,-79,-86,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-81,-92,-65,-78,-79,-86,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-81,-92,-65,-78,-79,-86,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-81,-92,-65,-78,-79,-86,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-81,-92,-65,-78,-79,-86,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-81,-92,-65,-78,-79,-86,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-81,-92,-65,-78,-79,-86,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-91,-100,-100,-81,-92,-65,-78,-79,-86,-82,-89,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-81,-89,-65,-73,-87,-86,-86,-91,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-81,-89,-65,-73,-87,-86,-86,-91,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-81,-89,-65,-73,-87,-86,-86,-91,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-81,-89,-65,-73,-87,-86,-86,-91,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-81,-89,-65,-73,-87,-86,-86,-91,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-81,-89,-65,-73,-87,-86,-86,-91,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-81,-89,-65,-73,-87,-86,-86,-91,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-81,-89,-65,-73,-87,-86,-86,-91,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-81,-89,-65,-73,-87,-86,-86,-91,-70,-100,
-603.4799957275391,-351.1384963989258,-100,-100,-100,-81,-89,-65,-73,-87,-86,-86,-91,-70,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-83,-88,-64,-77,-80,-84,-86,-90,-71,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-83,-88,-64,-77,-80,-84,-86,-90,-71,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-83,-88,-64,-77,-80,-84,-86,-90,-71,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-83,-88,-64,-77,-80,-84,-86,-90,-71,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-83,-88,-64,-77,-80,-84,-86,-90,-71,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-83,-88,-64,-77,-80,-84,-86,-90,-71,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-83,-88,-64,-77,-80,-84,-86,-90,-71,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-83,-88,-64,-77,-80,-84,-86,-90,-71,-100,
-601.9534912109375,-153.90549850463867,-92,-100,-100,-81,-83,-72,-72,-84,-81,-87,-88,-65,-100,
-601.9534912109375,-153.90549850463867,-92,-100,-100,-81,-83,-72,-72,-84,-81,-87,-88,-65,-100,
-601.9534912109375,-153.90549850463867,-92,-100,-100,-81,-83,-72,-72,-84,-81,-87,-88,-65,-100,
-601.9534912109375,-153.90549850463867,-92,-100,-100,-81,-83,-72,-72,-84,-81,-87,-88,-65,-100,
-601.9534912109375,-153.90549850463867,-92,-100,-100,-81,-83,-72,-72,-84,-81,-87,-88,-65,-100,
-601.9534912109375,-153.90549850463867,-92,-100,-100,-81,-83,-72,-72,-84,-81,-87,-88,-65,-100,
-601.9534912109375,-153.90549850463867,-92,-100,-100,-81,-83,-72,-72,-84,-81,-87,-88,-65,-100,
-601.9534912109375,-153.90549850463867,-92,-100,-100,-81,-83,-72,-72,-84,-81,-87,-88,-65,-100,
-601.9534912109375,-153.90549850463867,-92,-100,-100,-81,-83,-72,-72,-84,-81,-87,-88,-65,-100,
-601.9534912109375,-153.90549850463867,-92,-100,-100,-81,-83,-72,-72,-84,-81,-87,-88,-65,-100,
-601.9534912109375,-153.90549850463867,-92,-100,-100,-81,-83,-72,-72,-84,-81,-87,-88,-65,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-85,-80,-74,-72,-85,-81,-87,-88,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-85,-80,-74,-72,-85,-81,-87,-88,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-85,-80,-74,-72,-85,-81,-87,-88,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-85,-80,-74,-72,-85,-81,-87,-88,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-85,-80,-74,-72,-85,-81,-87,-88,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-85,-80,-74,-72,-85,-81,-87,-88,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-85,-80,-74,-72,-85,-81,-87,-88,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-85,-80,-74,-72,-85,-81,-87,-88,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-85,-80,-74,-72,-85,-81,-87,-88,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-85,-80,-74,-72,-85,-81,-87,-88,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-85,-80,-74,-72,-85,-81,-87,-88,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-81,-81,-72,-72,-79,-81,-87,-86,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-81,-81,-72,-72,-79,-81,-87,-86,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-81,-81,-72,-72,-79,-81,-87,-86,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-81,-81,-72,-72,-79,-81,-87,-86,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-81,-81,-72,-72,-79,-81,-87,-86,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-81,-81,-72,-72,-79,-81,-87,-86,-66,-100,
-601.9534912109375,-153.90549850463867,-100,-100,-100,-81,-81,-72,-72,-79,-81,-87,-86,-66,-100,
